,,,Offense,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Pos,MIN,G,A,S,SOG,CC,P,CR,ACR,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Gustavo Caballero,PAR,F,40.3,0.1,0.0,0.9,0.3,0.5,7.7,0.5,0.1,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Alex Arce,PAR,F,40.3,0.1,0.0,0.9,0.3,0.5,7.7,0.5,0.1,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Isidro Pitta,PAR,F,40.3,0.1,0.0,0.9,0.3,0.5,7.7,0.5,0.1,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Rayan,BRA,F,58.8,0.1,0.1,1.8,0.7,1.0,17.3,0.9,0.3,0.3,0.7,0.4,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Igor Thiago,BRA,F,58.8,0.1,0.1,1.8,0.7,1.0,17.3,0.9,0.3,0.3,0.7,0.4,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Endrick,BRA,F,58.8,0.1,0.1,1.8,0.7,1.0,17.3,0.9,0.3,0.3,0.7,0.4,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Luiz Henrique,BRA,F/M,58.8,0.1,0.1,1.8,0.7,1.0,17.3,0.9,0.3,0.3,0.7,0.4,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Gabriel Martinelli,BRA,F/M,58.8,0.1,0.1,1.8,0.7,1.0,17.3,0.9,0.3,0.3,0.7,0.4,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Giuliano Simeone,ARG,M,58.8,0.1,0.1,1.8,0.8,1.0,17.5,0.8,0.3,0.3,0.7,0.5,0.0,0.3,0.0,0.0,0.0,1.3,0.7,0.1,0.0
Jose Lopez,ARG,F,58.8,0.1,0.1,1.8,0.8,1.0,17.5,0.8,0.3,0.3,0.7,0.5,0.0,0.3,0.0,0.0,0.0,1.3,0.7,0.1,0.0
Nico Paz,ARG,F/M,58.8,0.1,0.1,1.8,0.8,1.0,17.5,0.8,0.3,0.3,0.7,0.5,0.0,0.3,0.0,0.0,0.0,1.3,0.7,0.1,0.0
Guela Doue,CIV,D,344.1,0.1,0.2,1.9,0.5,2.8,115.7,5.8,3.6,5.0,8.2,5.7,1.1,9.0,0.0,0.0,0.0,3.8,4.9,1.0,0.0
Jan Kuchta,CZE,F,38.2,0.1,0.0,0.8,0.3,0.5,7.3,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.6,0.0,0.0
Adam Hlozek,CZE,F,38.2,0.1,0.0,0.8,0.3,0.5,7.3,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.6,0.0,0.0
Mojmir Chytil,CZE,F,38.2,0.1,0.0,0.8,0.3,0.5,7.3,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.6,0.0,0.0
Tomas Chory,CZE,F,38.2,0.1,0.0,0.8,0.3,0.5,7.3,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.6,0.0,0.0
Nicolas Pepe,CIV,F/M,38.2,0.1,0.0,0.8,0.3,0.5,7.5,0.5,0.1,0.2,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Ange-Yoan Bonny,CIV,F,38.2,0.1,0.0,0.8,0.3,0.5,7.5,0.5,0.1,0.2,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Bazoumana Toure,CIV,F/M,38.2,0.1,0.0,0.8,0.3,0.5,7.5,0.5,0.1,0.2,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Elye Wahi,CIV,F,38.2,0.1,0.0,0.8,0.3,0.5,7.5,0.5,0.1,0.2,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Simon Adingra,CIV,F/M,38.2,0.1,0.0,0.8,0.3,0.5,7.5,0.5,0.1,0.2,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Oumar Diakite,CIV,M,38.2,0.1,0.0,0.8,0.3,0.5,7.5,0.5,0.1,0.2,0.4,0.3,0.0,0.3,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Rafik Belghali,ALG,M/D,336.9,0.1,0.2,1.7,0.5,2.6,107.9,5.5,3.3,4.7,8.7,5.9,1.1,9.2,0.0,0.0,0.0,4.0,5.4,1.0,0.0
Adil Boulbina,ALG,M,37.4,0.1,0.0,0.8,0.2,0.5,7.0,0.5,0.1,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Anis Hadj Moussa,ALG,F/M,37.4,0.1,0.0,0.8,0.2,0.5,7.0,0.5,0.1,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Fares Ghedjemis,ALG,F/M,37.4,0.1,0.0,0.8,0.2,0.5,7.0,0.5,0.1,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Ernest Nuamah,GHA,F,37.4,0.1,0.0,0.8,0.2,0.5,6.9,14.3,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Nadhir Benbouali,ALG,F,37.4,0.1,0.0,0.8,0.2,0.5,7.0,0.5,0.1,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Brandon Thomas-Asante,GHA,F,37.4,0.1,0.0,0.7,0.2,0.5,6.9,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Abdul Fatawu,GHA,F,37.4,0.1,0.0,0.7,0.2,0.5,6.9,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Kamaldeen Sulemana,GHA,F/M,37.4,0.1,0.0,0.7,0.2,0.5,6.9,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Prince Adu,GHA,F,37.4,0.1,0.0,0.7,0.2,0.5,6.9,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Augustine Boakye,GHA,F/M,37.4,0.1,0.0,0.7,0.2,0.5,6.9,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Christopher Bonsu Baah,GHA,F,37.4,0.1,0.0,0.7,0.2,0.5,6.9,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.6,0.5,0.0,0.0
Jamie Leweling,GER,F/M,54.8,0.1,0.1,1.8,0.7,1.0,16.7,0.9,0.2,0.2,0.6,0.3,0.0,0.2,0.0,0.0,0.0,0.9,0.7,0.1,0.0
Deniz Undav,GER,F/M,54.8,0.1,0.1,1.8,0.7,1.0,16.7,0.9,0.2,0.2,0.6,0.3,0.0,0.2,0.0,0.0,0.0,0.9,0.7,0.1,0.0
Maximilian Beier,GER,F/M,54.8,0.1,0.1,1.8,0.7,1.0,16.7,0.9,0.2,0.2,0.6,0.3,0.0,0.2,0.0,0.0,0.0,0.9,0.7,0.1,0.0
Sarpreet Singh,NZL,M,216.0,0.1,0.2,2.8,0.8,2.2,41.4,10.6,0.8,1.6,3.2,1.7,0.1,0.8,0.0,0.0,0.0,4.2,3.2,0.5,0.0
Abbosbek Fayzullaev,UZB,M,226.8,0.1,0.2,2.5,0.8,2.4,51.7,11.7,1.2,1.7,3.8,1.8,0.3,1.2,0.0,0.0,0.0,3.7,2.8,0.4,0.0
Oston Urunov,UZB,M,226.8,0.1,0.2,2.3,0.8,2.2,51.7,3.8,1.2,1.7,3.8,1.8,0.3,1.2,0.0,0.0,0.0,3.7,2.8,0.4,0.0
Matthew Garbett,NZL,F,226.8,0.1,0.2,2.3,0.8,2.2,52.4,3.4,0.8,1.6,3.5,1.7,0.3,1.3,0.0,0.0,0.0,3.8,2.7,0.4,0.0
Hannibal,TUN,M,226.8,0.1,0.1,2.3,0.5,2.3,90.7,11.3,0.4,3.0,5.3,3.5,0.7,3.1,0.0,0.0,0.0,2.7,4.1,0.7,0.0
Benjamin Tahirovic,BIH,M,226.8,0.1,0.1,2.1,0.6,2.2,89.5,2.1,0.5,2.8,5.0,3.4,0.7,3.1,0.0,0.0,0.0,2.9,4.1,0.7,0.0
Ivan Sunjic,BIH,M,226.8,0.1,0.1,2.1,0.6,2.2,89.5,2.1,0.5,2.8,5.0,3.4,0.7,3.1,0.0,0.0,0.0,2.9,4.1,0.7,0.0
Kim Jin-Gyu,KOR,M,226.8,0.1,0.1,2.1,0.5,2.1,88.7,2.3,0.7,2.9,5.4,3.2,0.6,2.8,0.0,0.0,0.0,2.6,4.0,0.6,0.0
Hwang In-beom,KOR,M/D,226.8,0.1,0.1,2.1,0.5,2.1,88.7,2.3,0.7,2.9,5.4,3.2,0.6,2.8,0.0,0.0,0.0,2.6,4.0,0.6,0.0
Anis Ben Slimane,TUN,M,226.8,0.1,0.1,2.0,0.5,2.0,90.7,1.8,0.4,3.0,5.3,3.5,0.7,3.1,0.0,0.0,0.0,2.7,4.1,0.7,0.0
Teboho Mokoena,RSA,M,248.4,0.1,0.1,2.1,0.5,1.4,97.7,7.0,0.3,3.8,5.8,3.2,1.1,3.7,0.0,0.0,0.0,3.3,5.0,1.1,0.0
Thalente Mbatha,RSA,M,248.4,0.1,0.1,2.0,0.5,1.3,97.7,1.3,0.3,3.8,5.8,3.2,1.1,3.7,0.0,0.0,0.0,3.3,5.0,1.1,0.0
Saman Ghoddos,IRN,M,226.8,0.1,0.1,2.0,0.5,1.9,80.7,11.0,0.4,3.1,5.2,3.1,0.7,3.0,0.0,0.0,0.0,2.7,3.9,0.8,0.0
Kevin Pina,CPV,M,248.4,0.1,0.1,2.0,0.5,1.3,97.6,1.3,0.3,4.0,5.9,3.2,1.1,3.9,0.0,0.0,0.0,3.2,5.0,1.1,0.0
Yannick Semedo,CPV,M,248.4,0.1,0.1,2.0,0.5,1.3,97.6,1.3,0.3,4.0,5.9,3.2,1.1,3.9,0.0,0.0,0.0,3.2,5.0,1.1,0.0
Mohamed Kanno,KSA,M,248.4,0.1,0.1,1.9,0.5,1.3,99.4,1.3,0.3,3.8,6.1,3.4,1.1,3.7,0.0,0.0,0.0,3.2,5.0,1.1,0.0
Abdullah Al-Khaibari,KSA,M,248.4,0.1,0.1,1.9,0.5,1.3,99.4,1.3,0.3,3.8,6.1,3.4,1.1,3.7,0.0,0.0,0.0,3.2,5.0,1.1,0.0
Saeid Ezatolahi,IRN,M,226.8,0.1,0.1,1.8,0.5,1.7,80.7,1.7,0.4,3.1,5.2,3.1,0.7,3.0,0.0,0.0,0.0,2.7,3.9,0.8,0.0
Mohammad Mohebi,IRN,M,226.8,0.1,0.1,1.8,0.5,1.7,80.7,1.7,0.4,3.1,5.2,3.1,0.7,3.0,0.0,0.0,0.0,2.7,3.9,0.8,0.0
Axel Tuanzebe,COD,D,270.0,0.1,0.1,1.4,0.3,0.6,102.5,0.3,0.2,4.1,4.3,2.3,2.2,12.2,0.0,0.0,0.0,2.2,3.5,0.8,0.0
Chancel Mbemba,COD,D,270.0,0.1,0.1,1.4,0.3,0.6,102.5,0.3,0.2,4.1,4.3,2.3,2.2,12.2,0.0,0.0,0.0,2.2,3.5,0.8,0.0
Steve Kapuadi,COD,D,270.0,0.1,0.1,1.4,0.3,0.6,102.5,0.3,0.2,4.1,4.3,2.3,2.2,12.2,0.0,0.0,0.0,2.2,3.5,0.8,0.0
Andres Andrade Cedeno,PAN,D,270.0,0.1,0.1,1.3,0.3,0.5,110.6,0.3,0.2,4.3,4.3,2.3,2.3,13.2,0.0,0.0,0.0,2.0,3.7,1.0,0.0
Jose Cordoba,PAN,D,270.0,0.1,0.1,1.3,0.3,0.5,110.6,0.3,0.2,4.3,4.3,2.3,2.3,13.2,0.0,0.0,0.0,2.0,3.7,1.0,0.0
Carlos Harvey,PAN,M,270.0,0.1,0.1,1.3,0.3,0.5,110.6,0.3,0.2,4.3,4.3,2.3,2.3,13.2,0.0,0.0,0.0,2.0,3.7,1.0,0.0
Logan Costa,CPV,D,270.0,0.1,0.0,1.4,0.3,0.5,112.2,0.3,0.1,4.3,4.2,2.2,2.6,14.3,0.0,0.0,0.0,2.0,3.4,0.9,0.0
Pico,CPV,D,270.0,0.1,0.0,1.4,0.3,0.5,112.2,0.3,0.1,4.3,4.2,2.2,2.6,14.3,0.0,0.0,0.0,2.0,3.4,0.9,0.0
Ali Lajami,KSA,D,270.0,0.1,0.0,1.3,0.3,0.5,114.3,0.3,0.1,4.1,4.3,2.3,2.6,13.8,0.0,0.0,0.0,2.0,3.4,0.9,0.0
Hassan Tambakti,KSA,D,270.0,0.1,0.0,1.3,0.3,0.5,114.3,0.3,0.1,4.1,4.3,2.3,2.6,13.8,0.0,0.0,0.0,2.0,3.4,0.9,0.0
Crysencio Summerville,NED,F/M,49.9,0.1,0.1,1.2,0.4,0.7,14.1,0.8,0.2,0.2,0.6,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Brian Brobbey,NED,F,49.9,0.1,0.1,1.2,0.4,0.7,14.1,0.8,0.2,0.2,0.6,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Noa Lang,NED,F/M,49.9,0.1,0.1,1.2,0.4,0.7,14.1,0.8,0.2,0.2,0.6,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Justin Kluivert,NED,F/M,49.9,0.1,0.1,1.2,0.4,0.7,14.1,0.8,0.2,0.2,0.6,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Alexis Saelemaekers,BEL,M/D,46.6,0.1,0.1,1.1,0.5,0.7,12.6,0.7,0.2,0.2,0.5,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Dodi Lukebakio,BEL,F/M,46.6,0.1,0.1,1.1,0.5,0.7,12.6,0.7,0.2,0.2,0.5,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Diego Moreira,BEL,M,46.6,0.1,0.1,1.1,0.5,0.7,12.6,0.7,0.2,0.2,0.5,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Matias Fernandez-Pardo,BEL,F/M,46.6,0.1,0.1,1.1,0.5,0.7,12.6,0.7,0.2,0.2,0.5,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Chemsdine Talbi,MAR,F/M,44.8,0.1,0.0,1.1,0.3,0.6,10.2,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Ayoube Amaimouni-Echghouyab,MAR,F/M,44.8,0.1,0.0,1.1,0.3,0.6,10.2,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Gessime Yassine,MAR,F/M,44.8,0.1,0.0,1.1,0.3,0.6,10.2,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Soufiane Rahimi,MAR,F,44.8,0.1,0.0,1.1,0.3,0.6,10.2,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Ayoub El Kaabi,MAR,F,44.8,0.1,0.0,1.1,0.3,0.6,10.2,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Daizen Maeda,JPN,F,43.1,0.1,0.0,1.1,0.4,0.6,10.0,0.8,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.7,0.0,0.0
Kento Shiogai,JPN,F,43.1,0.1,0.0,1.1,0.4,0.6,10.0,0.8,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.7,0.0,0.0
Keisuke Goto,JPN,F,43.1,0.1,0.0,1.1,0.4,0.6,10.0,0.8,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.7,0.0,0.0
Koki Ogawa,JPN,F,43.1,0.1,0.0,1.1,0.4,0.6,10.0,0.8,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.7,0.0,0.0
Ricardo Pepi,USA,F,43.1,0.1,0.0,1.0,0.4,0.6,9.5,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.7,0.0,0.0
Timothy Weah,USA,M/D,43.1,0.1,0.0,1.0,0.4,0.6,9.5,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.7,0.0,0.0
Haji Wright,USA,F,43.1,0.1,0.0,1.0,0.4,0.6,9.5,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.7,0.0,0.0
Alejandro Zendejas,USA,M,43.1,0.1,0.0,1.0,0.4,0.6,9.5,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.7,0.0,0.0
Alexis Vega,MEX,F,42.2,0.1,0.1,1.2,0.4,0.7,9.3,14.4,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Guillermo Martinez,MEX,F,42.2,0.1,0.0,1.1,0.4,0.6,9.3,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Armando Gonzalez,MEX,F/M,42.2,0.1,0.0,1.1,0.4,0.6,9.3,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Brian Rodriguez,URU,F,42.2,0.1,0.0,1.0,0.4,0.6,9.9,6.1,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Federico Vinas,URU,F,42.2,0.1,0.0,1.0,0.4,0.6,9.9,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Noah Okafor,SUI,F,42.2,0.1,0.0,1.0,0.4,0.6,9.9,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Rodrigo Aguirre,URU,F/M,42.2,0.1,0.0,1.0,0.4,0.6,9.9,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Agustin Canobbio Graviz,URU,F,42.2,0.1,0.0,1.0,0.4,0.6,9.9,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Zeki Amdouni,SUI,F/M,42.2,0.1,0.0,1.0,0.4,0.6,9.9,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Dan Ndoye,SUI,F/M,42.2,0.1,0.0,1.0,0.4,0.6,9.9,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Cedric Itten,SUI,F,42.2,0.1,0.0,1.0,0.4,0.6,9.9,0.7,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Ferdi Kadioglu,TUR,M/D,371.4,0.1,0.3,2.0,0.5,3.4,131.0,8.5,3.9,4.3,7.9,4.7,0.6,10.9,0.0,0.0,0.0,3.7,5.3,0.5,0.0
Petar Musa,CRO,F,41.3,0.1,0.0,1.1,0.4,0.6,9.6,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Igor Matanovic,CRO,F,41.3,0.1,0.0,1.1,0.4,0.6,9.6,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Marco Pasalic,CRO,F,41.3,0.1,0.0,1.1,0.4,0.6,9.6,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Ahmadou Bamba Dieng,SEN,F,41.3,0.1,0.0,1.0,0.4,0.6,9.4,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Assane Diao,SEN,F/M,41.3,0.1,0.0,1.0,0.4,0.6,9.4,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Cherif Ndiaye,SEN,F,41.3,0.1,0.0,1.0,0.4,0.6,9.4,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Ibrahim Mbaye,SEN,F/M,41.3,0.1,0.0,1.0,0.4,0.6,9.4,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Ismaila Sarr,SEN,F/M,41.3,0.1,0.0,1.0,0.4,0.6,9.4,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
John Yeboah,ECU,F/M,41.3,0.1,0.0,0.9,0.4,0.6,9.8,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Alan Minda,ECU,F,41.3,0.1,0.0,0.9,0.4,0.6,9.8,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Jeremy Arevalo,ECU,F,41.3,0.1,0.0,0.9,0.4,0.6,9.8,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Jordy Caicedo,ECU,F,41.3,0.1,0.0,0.9,0.4,0.6,9.8,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Anthony Lenin Valencia Bajana,ECU,F,41.3,0.1,0.0,0.9,0.4,0.6,9.8,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Kevin Rodriguez,ECU,F,41.3,0.1,0.0,0.9,0.4,0.6,9.8,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Jordan Bos,AUS,D,243.0,0.1,0.2,2.0,0.5,3.1,85.7,10.1,4.3,3.5,6.8,3.5,0.5,6.8,0.0,0.0,0.0,4.0,5.0,0.5,0.0
Elijah Just,NZL,F,216.0,0.1,0.2,2.2,0.8,2.0,40.3,3.8,1.0,1.6,3.1,1.9,0.1,1.6,0.0,0.0,0.0,2.9,2.7,0.5,0.0
Josue Casimir,HAI,F/M,232.2,0.1,0.2,1.6,0.5,2.0,52.6,4.2,1.3,3.1,4.4,2.5,0.6,3.2,0.0,0.0,0.0,3.9,3.7,0.6,0.0
Ibrahim Bayesh,IRQ,M,232.2,0.1,0.2,1.6,0.5,2.0,50.9,4.3,1.3,2.9,4.2,2.5,0.6,3.2,0.0,0.0,0.0,3.8,3.7,0.6,0.0
Ali Jasim,IRQ,F/M,232.2,0.1,0.1,2.1,0.6,1.6,52.1,9.0,0.7,2.6,4.4,2.6,0.2,2.6,0.0,0.0,0.0,2.9,3.0,0.6,0.0
Ruben Providence,HAI,F/M,232.2,0.1,0.1,2.1,0.6,1.6,53.9,6.5,0.7,2.8,4.6,2.6,0.2,2.6,0.0,0.0,0.0,2.9,3.0,0.6,0.0
Khojiakbar Alijonov,UZB,D,232.2,0.1,0.1,1.7,0.5,2.0,49.5,4.7,1.8,3.2,4.7,2.6,0.5,3.1,0.0,0.0,0.0,3.6,3.8,0.6,0.0
Sherzod Nasrullayev,UZB,D,232.2,0.1,0.1,2.1,0.6,1.5,50.6,4.0,0.9,2.8,4.9,2.8,0.2,2.5,0.0,0.0,0.0,2.8,3.1,0.6,0.0
Mohannad Abu Taha,JOR,D,232.2,0.1,0.1,1.9,0.5,1.5,50.0,3.7,0.9,2.8,5.0,2.9,0.2,2.5,0.0,0.0,0.0,2.7,3.2,0.6,0.0
Noah Sadiki,COD,M/D,226.8,0.1,0.1,1.9,0.5,2.0,73.9,2.3,0.5,2.9,5.1,2.7,0.6,2.6,0.0,0.0,0.0,3.0,4.0,0.8,0.0
Charles Pickel,COD,M/D,226.8,0.1,0.1,1.9,0.5,2.0,73.9,2.3,0.5,2.9,5.1,2.7,0.6,2.6,0.0,0.0,0.0,3.0,4.0,0.8,0.0
Samuel Moutoussamy,COD,M,226.8,0.1,0.1,1.9,0.5,2.0,73.9,2.3,0.5,2.9,5.1,2.7,0.6,2.6,0.0,0.0,0.0,3.0,4.0,0.8,0.0
Cristian Martinez,PAN,M,226.8,0.1,0.1,1.8,0.4,1.7,79.8,2.0,0.6,3.1,5.2,2.8,0.6,2.8,0.0,0.0,0.0,2.8,4.2,0.9,0.0
Anibal Godoy,PAN,M,226.8,0.1,0.1,1.8,0.4,1.7,79.8,2.0,0.6,3.1,5.2,2.8,0.6,2.8,0.0,0.0,0.0,2.8,4.2,0.9,0.0
Kerim-Sam Alajbegovic,BIH,F/M,27.0,0.1,0.0,0.7,0.2,0.4,5.3,8.6,0.1,0.1,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.5,0.4,0.0,0.0
Haris Tabakovic,BIH,F,27.0,0.1,0.0,0.6,0.2,0.3,5.3,0.4,0.1,0.1,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.5,0.4,0.0,0.0
Jovo Lukic,BIH,F,27.0,0.1,0.0,0.6,0.2,0.3,5.3,0.4,0.1,0.1,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.5,0.4,0.0,0.0
Samed Bazdar,BIH,F,27.0,0.1,0.0,0.6,0.2,0.3,5.3,0.4,0.1,0.1,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.5,0.4,0.0,0.0
Eom Ji-Sung,KOR,F,27.0,0.1,0.0,0.6,0.2,0.3,5.3,0.4,0.1,0.2,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0
Yang Hyun-Jun,KOR,F,27.0,0.1,0.0,0.6,0.2,0.3,5.3,0.4,0.1,0.2,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0
Cho Gue-Sung,KOR,F,27.0,0.1,0.0,0.6,0.2,0.3,5.3,0.4,0.1,0.2,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0
Oh Hyun-Gyu,KOR,F,27.0,0.1,0.0,0.6,0.2,0.3,5.3,0.4,0.1,0.2,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0
Dennis Eckert,IRN,F,27.0,0.1,0.0,0.5,0.2,0.3,4.8,0.3,0.1,0.2,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0
Alireza Jahanbakhsh,IRN,F,27.0,0.1,0.0,0.5,0.2,0.3,4.8,0.3,0.1,0.2,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0
Ali Alipour,IRN,F,27.0,0.1,0.0,0.5,0.2,0.3,4.8,0.3,0.1,0.2,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0
