,,,Offense,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Pos,MIN,G,A,S,SOG,CC,P,CR,ACR,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Adrien Rabiot,FRA,M,585.2,0.5,0.4,8.0,2.8,5.5,384.4,4.2,1.1,7.2,13.2,10.2,1.6,6.1,0.0,0.0,0.0,9.8,9.1,1.0,0.0
Aurelien Tchouameni,FRA,M,585.2,0.5,0.4,8.0,2.8,5.5,384.4,4.2,1.1,7.2,13.2,10.2,1.6,6.1,0.0,0.0,0.0,9.8,9.1,1.0,0.0
William Saliba,FRA,D,636.1,0.5,0.4,5.4,1.8,2.2,442.2,0.8,0.4,7.7,9.3,6.9,3.9,22.5,0.0,0.0,0.0,6.0,6.2,0.8,0.0
Dayot Upamecano,FRA,D,636.1,0.5,0.4,5.4,1.8,2.2,442.2,0.8,0.4,7.7,9.3,6.9,3.9,22.5,0.0,0.0,0.0,6.0,6.2,0.8,0.0
Marcel Sabitzer,AUT,M,322.4,0.5,0.5,7.0,2.2,5.1,67.4,15.9,1.6,2.1,4.8,1.7,0.1,1.2,0.0,0.0,0.0,6.6,4.9,0.5,0.0
Oscar Bobb,NOR,F/M,419.8,0.5,1.1,6.6,2.2,7.0,136.2,19.9,3.4,3.9,7.0,4.2,0.8,4.4,0.0,0.0,0.0,7.6,6.2,0.5,0.1
Joao Neves,POR,M,503.9,0.5,0.4,6.8,2.4,4.7,337.8,3.7,1.0,6.2,11.3,7.2,1.5,5.3,0.0,0.0,0.0,8.0,8.3,1.2,0.0
Vitinha,POR,M,503.9,0.5,0.4,6.8,2.4,4.7,337.8,3.7,1.0,6.2,11.3,7.2,1.5,5.3,0.0,0.0,0.0,8.0,8.3,1.2,0.0
Nico Schlotterbeck,GER,D,547.7,0.5,0.3,4.7,1.5,1.9,390.0,0.7,0.4,6.5,8.3,4.6,3.5,20.3,0.0,0.0,0.0,4.2,6.0,1.1,0.1
Jonathan Tah,GER,D,547.7,0.5,0.3,4.7,1.5,1.9,390.0,0.7,0.4,6.5,8.3,4.6,3.5,20.3,0.0,0.0,0.0,4.2,6.0,1.1,0.1
Amirhossein Hosseinzadeh,IRN,F,237.6,0.5,0.2,4.7,1.4,3.0,44.6,8.6,1.1,1.4,2.9,1.7,0.1,1.2,0.0,0.0,0.0,5.1,2.7,0.2,0.0
Mehdi Ghayedi,IRN,M,237.6,0.5,0.2,4.3,1.3,2.1,43.4,4.8,0.9,1.6,2.8,1.6,0.1,1.4,0.0,0.0,0.0,3.4,3.9,0.2,0.0
